LotFrontage,LotArea,YearBuilt,MasVnrArea,TotalBsmtSF,BsmtUnfSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea,SalePrice
174.0,25419,1918,0.0,1360,140,3112,4,8,795,235000
92.0,5520,1912,0.0,755,755,2229,5,8,0,104000
76.0,9591,2004,262.0,1713,625,1713,3,7,856,274900
80.0,8546,2003,0.0,1121,1121,1121,2,5,440,140000
75.0,10125,1977,0.0,1196,276,1279,3,6,473,171500
50.0,7000,1924,0.0,617,0,1310,2,6,398,112000
50.0,3500,1947,0.0,720,408,1284,2,5,240,110000
99.0,11851,1990,0.0,1424,1424,1442,3,5,500,180500
40.0,13673,1962,0.0,1140,1140,1696,3,8,349,143900
75.0,8250,1964,260.0,1092,305,1092,3,6,504,145000
67.0,5604,1925,0.0,864,396,864,2,5,0,98000
83.0,10420,2009,0.0,1212,1176,1212,3,6,460,186000
72.0,8640,2009,0.0,900,78,1852,3,7,644,252678
43.0,13568,1995,0.0,990,274,990,3,5,576,156000
72.0,10011,1957,64.0,1070,710,1236,2,6,447,134450
65.0,8450,2004,266.0,1436,490,1436,3,8,484,210000
57.0,9906,1925,0.0,686,686,1328,3,8,210,107000
43.0,3010,2005,16.0,1248,1232,1248,2,5,438,167240
73.0,8990,2006,0.0,1498,1498,1498,2,5,675,204900
85.0,11475,1975,0.0,713,163,1552,3,6,434,179900
70.0,10500,1971,0.0,864,160,864,2,4,576,97000
103.0,13472,2003,922.0,2392,2336,2392,3,8,968,386250
21.0,1680,1971,142.0,630,630,1302,3,6,280,112000
82.0,9950,1995,290.0,1203,638,2520,4,9,721,290000
21.0,1869,1970,127.0,483,162,987,2,5,280,106000
70.0,8521,1967,0.0,912,70,912,3,5,336,125000
43.0,3182,2005,16.0,1373,1357,1555,2,7,430,192500
73.0,8760,1959,220.0,1194,1194,1194,3,6,312,148000
174.0,15138,1995,506.0,1462,773,2794,4,9,810,403000
21.0,1680,1972,297.0,483,483,987,2,5,288,94500
75.0,10650,1976,0.0,894,0,894,3,5,308,128200
21.0,1680,1971,604.0,483,125,987,2,5,264,89500
65.0,8773,2004,98.0,1414,1390,1414,3,6,494,185500
93.0,12030,2007,254.0,1694,1694,1694,3,7,818,318000
52.0,8741,1945,0.0,735,641,1487,3,7,220,113000
75.0,9000,2008,36.0,1566,488,1566,3,7,750,262500
40.0,3880,1945,0.0,686,357,866,2,4,0,110500
63.0,5000,1900,0.0,540,540,1440,3,6,352,79000
75.0,10762,1980,0.0,626,626,1217,3,6,288,120000
80.0,10400,1988,102.0,1845,916,1872,3,6,604,241500
69.0,9142,1910,0.0,1020,1020,1928,4,9,440,137000
75.0,11310,1954,0.0,1367,1367,1375,2,5,451,140000
72.0,11317,2003,101.0,840,840,1668,3,8,500,180000
55.0,5350,1940,0.0,728,728,1306,3,6,0,76500
44.0,4750,2006,481.0,1573,0,1625,2,5,538,235000
65.0,8366,2004,0.0,798,798,1640,3,6,520,173000
85.0,9350,1964,108.0,1302,452,1302,3,7,309,158000
70.0,8400,1957,0.0,1314,392,1314,3,5,294,145000
66.0,8738,1999,302.0,975,975,2291,4,8,429,230000
64.0,8791,2003,0.0,864,361,1728,3,7,673,207500
68.0,8814,2006,180.0,1604,270,1604,3,8,660,220000
80.0,12435,2001,172.0,963,602,1792,3,7,564,231500
70.0,12702,1956,0.0,0,0,882,2,4,308,97000
120.0,19296,1962,399.0,1362,0,1382,3,6,884,176000
69.0,9588,2007,270.0,1482,1482,2574,3,10,868,276000
88.0,8471,1977,46.0,506,0,1212,3,6,492,151000
50.0,5500,1929,0.0,926,0,1316,3,6,484,130000
30.0,5232,1925,0.0,680,680,764,2,4,504,73000
78.0,12090,1981,210.0,1422,606,1422,3,7,576,175500
70.0,11207,1997,0.0,802,88,1511,3,8,413,185000
60.0,8400,1939,0.0,720,342,2192,4,8,240,179500
71.0,6900,1940,0.0,740,212,778,2,4,924,120500
84.0,10728,2006,0.0,1095,1095,1939,3,8,1053,266000
73.0,39104,1954,0.0,1385,96,1363,2,5,439,241500
92.0,11764,1999,348.0,1152,628,2270,4,9,671,290000
80.0,9600,1958,183.0,1240,0,1632,3,6,338,139000
76.0,8314,1982,0.0,816,270,816,2,5,264,124500
55.0,7264,1925,0.0,952,952,1548,3,5,672,205000
129.0,9196,2003,0.0,1560,1560,1560,3,7,573,201000
140.0,19138,1951,0.0,864,744,864,2,4,400,141000
107.0,14450,2006,315.0,2121,2121,2121,3,8,732,415298
83.0,10005,1977,299.0,1160,768,2022,4,8,505,192000
82.0,11287,1989,340.0,807,386,1982,3,7,575,228500
60.0,7200,2006,68.0,1262,357,1262,2,5,572,185000
34.0,5063,2007,166.0,1314,410,1314,2,6,626,207500
74.0,9612,2008,72.0,1468,1468,1468,3,6,898,244600
50.0,8012,1992,0.0,1575,1145,1575,2,5,529,179200
35.0,4251,2006,0.0,625,625,1250,2,5,528,164700
77.0,9786,1962,0.0,912,312,1734,3,7,440,159000
60.0,8730,1915,0.0,698,698,1396,3,7,384,153575
120.0,15611,2006,0.0,1079,1079,1919,3,8,685,233230
55.0,5687,1912,0.0,780,570,1716,6,9,0,135900
60.0,11409,1949,0.0,768,476,1716,3,8,281,131000
80.0,9600,1953,238.0,1416,131,1644,3,7,418,167000
37.0,7937,1984,0.0,1003,184,1003,3,6,588,142500
75.0,13710,1950,0.0,910,490,1558,4,6,282,152000
66.0,7399,1997,1600.0,975,326,1950,3,7,576,239000
90.0,11700,1968,365.0,702,143,1743,3,7,539,175000
80.0,14000,1950,0.0,1092,1092,1152,3,6,300,158500
90.0,15750,1953,56.0,1165,324,1336,2,5,375,157000
66.0,16226,1998,0.0,1028,747,2452,4,9,683,267000
118.0,13704,2001,150.0,1541,1541,1541,3,6,843,205000
70.0,9800,1972,0.0,894,0,894,3,5,552,149900
87.0,18386,1880,0.0,1470,1470,3493,3,10,870,295000
80.0,10386,2004,246.0,2000,536,2000,3,8,888,305900
116.0,13474,1990,246.0,700,0,2243,4,8,746,225000
90.0,12378,2003,0.0,1896,622,1944,3,8,708,360000
50.0,8000,1948,0.0,972,292,972,2,5,240,132000
65.0,7800,1939,0.0,793,286,1118,3,5,410,119900
150.0,215245,1965,0.0,2136,80,2036,3,8,513,375000
60.0,9600,1925,0.0,728,712,1641,3,6,546,178000
71.0,7795,2004,0.0,716,291,1432,3,6,432,188500
94.0,13005,1980,278.0,845,153,2353,4,10,484,260000
75.0,9000,2006,0.0,1088,1088,1959,3,8,1025,270000
90.0,9900,1993,256.0,1347,360,2646,4,9,656,260000
111.0,16259,2006,370.0,1249,1249,2596,4,9,840,342643
99.0,12099,2004,388.0,1136,166,2468,4,10,872,354000
86.0,10380,1986,172.0,1502,0,2730,4,8,576,301000
49.0,5820,1955,0.0,1162,906,1163,3,6,220,126175
96.0,11275,1967,300.0,710,710,2978,5,11,564,242000
50.0,5000,1941,0.0,720,604,803,2,5,360,87000
32.0,10846,1993,0.0,1719,100,1719,1,6,473,324000
80.0,11600,1960,175.0,1383,818,1383,3,7,292,145250
60.0,6402,1920,0.0,596,596,1192,3,6,189,78000
70.0,8176,1958,0.0,1056,210,1056,3,6,308,139000
85.0,10655,2003,296.0,3206,1603,1629,3,7,880,284000
59.0,8198,2004,146.0,1358,638,1358,2,6,484,207000
59.0,9042,1998,0.0,943,115,1638,3,7,472,192000
86.0,14157,2005,200.0,1922,673,1922,3,8,676,377426
70.0,9135,2002,113.0,1536,726,1536,3,7,532,214000
91.0,14145,1984,0.0,1208,995,1621,3,8,440,202500
66.0,12400,1958,176.0,1215,630,1215,3,6,297,155000
85.0,14191,2002,0.0,967,967,1908,4,9,431,202900
60.0,8400,1950,0.0,721,721,841,2,4,294,82000
63.0,8849,2005,616.0,1684,1656,1684,2,6,564,266000
36.0,2592,1976,0.0,536,175,1112,3,4,336,85000
65.0,6435,1939,0.0,972,972,1577,3,6,312,140200
36.0,2448,2003,106.0,764,191,1626,2,6,474,154000
56.0,20431,2005,870.0,1848,438,2728,4,10,706,437154
68.0,7820,2007,362.0,1869,1869,1869,2,6,617,318061
60.0,9084,1941,0.0,616,0,1111,3,5,200,95000
60.0,8520,1928,0.0,624,624,720,2,5,484,105900
60.0,8400,1940,0.0,940,552,1595,2,6,240,140000
105.0,11249,1995,0.0,1200,322,1200,3,6,521,177500
44.0,4224,1976,0.0,1142,268,1142,3,6,528,134000
92.0,6930,1958,120.0,1062,468,1352,3,6,288,130000
78.0,12011,1998,530.0,1086,130,1924,3,7,592,280000
64.0,7301,2003,500.0,0,0,1922,4,7,672,198500
21.0,1680,1972,510.0,483,321,987,2,5,264,118000
59.0,10690,1920,0.0,672,216,1344,3,6,468,147000
101.0,9150,1962,305.0,1099,728,1431,3,6,296,165000
78.0,7800,1954,200.0,1268,728,1268,2,7,244,132000
80.0,17120,1959,0.0,0,0,1588,4,7,680,134432
50.0,7175,1984,0.0,744,0,752,2,4,264,125000
79.0,10634,1953,0.0,608,0,1319,3,5,270,123000
65.0,8200,2003,0.0,847,847,1928,4,8,434,219500
57.0,8846,1996,0.0,870,572,914,2,5,576,148000
102.0,11143,2004,0.0,1580,1580,2466,4,8,610,340000
88.0,11394,2010,350.0,1856,411,1856,1,8,834,394432
60.0,8123,2000,16.0,982,982,1800,3,7,463,179000
50.0,5000,1924,0.0,1026,808,1691,3,6,308,127000
60.0,7200,2006,0.0,1293,1293,1301,2,5,572,187750
79.0,9245,2006,0.0,939,939,1797,3,8,639,213500
60.0,9000,1928,0.0,784,784,784,2,5,360,76000
43.0,3182,2004,16.0,1256,1232,1269,2,6,430,192000
58.0,8410,1910,0.0,658,658,1184,5,8,0,81000
72.0,7200,1976,255.0,1041,410,1125,3,6,352,125000
93.0,9382,1999,125.0,1468,1468,1479,3,6,577,191000
96.0,12474,2007,272.0,1682,402,2332,3,9,846,426000
50.0,8405,1900,0.0,861,229,1367,4,7,384,119000
71.0,12209,2001,0.0,804,114,1961,3,7,560,215000
60.0,10134,1940,0.0,735,735,1034,2,5,240,109000
68.0,9571,1956,0.0,1144,405,1144,3,6,596,129000
60.0,7200,1972,0.0,894,117,894,2,6,600,123000
69.0,7590,1962,288.0,864,324,1812,4,8,264,169500
60.0,8967,1920,0.0,961,961,1077,2,6,338,67000
65.0,8125,2006,100.0,1092,280,1550,2,7,438,241000
38.0,14963,1996,0.0,1260,474,1288,1,4,500,245500
65.0,8767,2005,0.0,1310,1286,1310,3,6,400,164990
60.0,10200,1940,0.0,672,672,672,2,4,240,108000
93.0,12090,1998,650.0,1141,1141,2263,4,10,420,258000
51.0,10480,1936,0.0,1064,1064,1639,3,6,240,115000
63.0,15576,1915,0.0,840,840,1680,4,8,308,177000
109.0,14154,2006,350.0,1063,1063,2172,3,9,947,280000
85.0,10800,2007,100.0,1034,245,2078,3,8,836,339750
68.0,9571,1958,0.0,1276,1276,1276,3,5,350,60000
100.0,34650,1955,0.0,1056,0,1056,3,5,572,145000
56.0,8960,1927,0.0,1008,1008,1028,2,5,360,115000
59.0,11228,1993,0.0,1080,499,2097,3,9,678,228000
73.0,8899,2007,0.0,1340,1316,1340,3,6,396,181134
74.0,7844,1978,203.0,672,463,1400,3,6,440,149500
86.0,22420,1918,0.0,1370,242,2624,4,10,864,239000
60.0,8160,1940,0.0,756,444,1134,3,7,240,126000
65.0,8450,1968,0.0,1056,281,1056,3,6,304,142000
78.0,7060,1997,200.0,1344,35,1344,2,8,784,206300
100.0,21750,1954,0.0,988,988,988,2,4,520,113000
80.0,9200,1998,473.0,1470,484,2630,4,8,696,315000
72.0,9000,1956,74.0,1196,580,1196,2,6,297,139000
60.0,3378,1946,0.0,651,651,1389,3,6,240,135000
77.0,8593,1957,0.0,907,619,907,3,5,352,109008
64.0,6762,2007,108.0,1208,544,1208,2,6,628,195400
130.0,11457,1988,0.0,1392,387,1412,3,6,576,175000
21.0,1680,1971,232.0,483,96,987,2,4,264,85400
60.0,5586,1920,0.0,901,901,1198,4,7,0,79900
24.0,1920,1971,376.0,765,294,1365,2,6,440,122500
100.0,10839,1997,0.0,926,926,1604,3,7,470,181000
21.0,1890,1972,0.0,630,135,630,1,3,0,81000
43.0,10667,1996,0.0,799,70,1661,3,6,550,212000
40.0,4400,1920,0.0,648,648,1118,2,6,440,116000
50.0,6000,1926,0.0,884,884,904,2,4,180,119000
40.0,4280,1913,0.0,440,75,694,2,4,352,90350
67.0,12354,1920,0.0,684,684,1196,3,7,528,110000
105.0,15431,2008,200.0,3094,788,2402,2,10,672,555000
92.0,12108,1955,270.0,1440,1307,1440,4,8,0,118000
52.0,6240,1930,0.0,1078,1078,1573,3,8,360,162900
53.0,3922,2006,72.0,1258,1258,1258,2,6,648,172500
70.0,8750,1994,0.0,915,273,1908,4,8,493,210000
73.0,9855,1956,0.0,1436,1436,1689,3,7,480,127500
137.0,16492,1966,0.0,1517,557,1888,2,6,578,190000
50.0,8600,1937,0.0,780,780,1376,3,7,198,119500
50.0,6000,1948,0.0,649,318,1183,2,6,308,120000
70.0,5684,1930,0.0,813,813,813,2,5,270,110000
62.0,70761,1975,0.0,1533,878,1533,2,5,576,280000
75.0,9000,2008,0.0,768,768,1590,3,6,676,210000
63.0,9297,1976,0.0,1728,122,1728,4,8,560,188000
80.0,9600,1973,320.0,1242,326,1242,3,6,528,175500
34.0,4571,1916,0.0,624,624,1344,4,7,513,98000
75.0,8004,2009,110.0,832,288,1935,3,8,552,263435
60.0,7200,1936,0.0,560,0,1135,3,6,576,155000
60.0,8281,1965,0.0,864,0,864,3,5,360,62383
74.0,11988,1934,0.0,715,389,1660,3,6,240,188700
60.0,8430,1978,136.0,1040,424,1040,3,5,0,124000
85.0,10628,1970,0.0,1277,499,1277,2,5,526,167000
79.0,9480,1942,224.0,728,342,1644,3,7,312,146500
98.0,11428,2006,248.0,1626,1626,1634,3,7,866,250000
76.0,9291,1993,120.0,832,406,1710,3,7,506,187000
92.0,11952,1977,0.0,808,808,1969,3,8,534,190000
35.0,3675,2005,80.0,547,88,1072,2,5,525,148000
110.0,14977,2006,304.0,1976,626,1976,2,7,908,440000
41.0,5330,2000,0.0,1494,298,1652,2,6,499,251000
80.0,8480,1963,0.0,970,340,970,2,5,624,132500
75.0,13125,1997,215.0,1478,484,1493,3,7,508,208900
105.0,13693,2006,772.0,2153,2153,2643,3,9,694,380000
79.0,10637,2007,336.0,1705,417,1718,3,7,826,297000
50.0,5925,1937,435.0,907,739,1131,2,7,672,89471
98.0,16033,2004,378.0,1833,572,1850,3,8,772,326000
72.0,11846,2003,562.0,1792,225,1792,2,6,874,374000
50.0,2500,1915,0.0,910,611,1826,4,7,164,155000
32.0,4500,1998,116.0,1216,319,1216,2,5,402,164000
80.0,9600,1950,0.0,1113,506,1113,3,5,264,147000
79.0,10289,1965,168.0,1073,237,1073,3,6,515,156000
70.0,12243,1971,0.0,1484,486,1484,3,7,487,175000
60.0,10800,1900,0.0,954,290,2414,3,10,520,160000
21.0,1526,1970,0.0,630,115,630,1,3,286,86000
79.0,9490,1941,0.0,806,238,1578,3,5,240,133000
105.0,15578,2006,0.0,728,728,1456,3,8,429,172785
70.0,7931,1960,0.0,1269,363,1269,3,6,308,155000
50.0,5784,1938,0.0,190,190,886,2,4,273,91300
60.0,7879,1920,0.0,720,225,720,2,4,0,34900
60.0,9120,1925,0.0,1026,697,1820,4,8,240,184000
65.0,7800,1967,89.0,864,414,899,3,5,288,130000
70.0,7535,1958,0.0,912,522,912,2,5,297,120000
21.0,1890,1973,285.0,672,316,1218,3,7,264,113000
75.0,9803,2005,0.0,866,466,1768,3,7,603,226700
70.0,9170,1965,0.0,1214,420,1214,2,6,461,140000
100.0,15602,1959,0.0,1501,254,1801,1,6,484,289000
24.0,2308,1974,0.0,855,103,1322,3,6,440,147000
60.0,7596,1952,360.0,960,960,1960,4,10,400,124500
80.0,9554,1993,125.0,777,397,1911,3,8,471,215000
75.0,7862,2009,0.0,1218,1191,1218,2,4,676,208300
60.0,9600,1928,0.0,689,548,1378,3,7,360,161000
80.0,9600,1959,132.0,1041,50,1041,3,6,270,124500
75.0,14559,1951,70.0,1008,178,1363,2,6,288,164900
40.0,6792,2005,94.0,1368,1368,1368,2,6,474,202665
70.0,9100,1958,0.0,864,169,864,3,5,624,129900
71.0,9187,1983,0.0,1084,748,1080,3,5,484,134000
55.0,10594,1926,0.0,768,768,789,2,5,200,96500
94.0,12220,2009,305.0,2006,570,2020,3,9,900,402861
79.0,10208,1996,921.0,1264,1264,2344,3,7,889,265000
53.0,10918,1926,0.0,1276,1276,2080,3,9,282,234000
60.0,10800,1900,0.0,0,0,1294,3,7,0,106250
90.0,11988,1957,0.0,1244,467,1244,3,6,336,150000
50.0,5000,1947,0.0,1004,605,1664,3,7,420,159000
130.0,40094,2007,762.0,3138,878,4676,3,11,884,184750
95.0,11787,1996,594.0,1379,660,2398,3,8,834,315750
62.0,7500,2005,0.0,1257,1257,1266,3,6,453,176000
70.0,13300,1956,0.0,928,551,928,2,4,252,132000
67.0,14948,2008,268.0,1452,122,2713,3,11,858,446261
58.0,9098,1920,0.0,528,180,605,2,5,0,86000
85.0,10200,1988,219.0,1461,678,1509,3,5,600,175000
60.0,6155,1920,0.0,611,611,1362,3,6,502,128000
60.0,7200,1955,0.0,0,0,827,2,5,392,107500
50.0,5000,1946,0.0,0,0,334,1,2,0,39300
74.0,9056,2004,0.0,707,707,1414,3,6,403,178000
70.0,7000,1910,0.0,1117,148,1347,3,5,0,107500
57.0,8924,1998,0.0,880,880,1724,3,8,527,188000
85.0,14601,2006,584.0,1838,578,1838,2,8,765,315000
78.0,10140,1998,0.0,1650,379,1680,3,7,583,213250
34.0,4058,1998,182.0,723,0,767,1,4,367,133000
58.0,17104,2006,0.0,654,100,1496,3,7,426,179665
70.0,8737,1923,0.0,1065,765,1635,3,6,440,210000
